Country Name,Country Code,Series Name,Series Code,1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.671213468,5.57459312,5.475514202,5.37627632,5.275786056,5.174192665,5.070681018,4.965564425,4.859067059,4.750511926,4.641540262,4.531007567,4.420069167,4.308484267,4.196519505,4.083765105,3.971637574,3.860802131,3.752278433,3.645837124,3.542900794,3.444332809,3.35018432,3.261498903,3.178990931,3.103534268,3.034242437,2.970810163,2.912580003,2.858594587,2.808249838,2.759883585,2.712040922,2.664019772,2.61401797,2.562791678,2.510474301,2.457817754,2.406144727,2.358026831,2.313569019,2.275378589,2.242455773,2.214207718,2.19021688,2.168472324,2.14743446,2.126602576,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,Wanted fertility rate (births per woman),SP.DYN.WFRT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,100.6335811,99.2879549,97.9541335,96.61245702,95.22126702,93.82091139,93.44936867,93.05227748,92.62953409,92.14339519,91.64564392,90.95967709,90.30928426,89.69352451,89.09700931,88.49956272,87.94277808,87.38731065,86.82740158,86.23783278,85.64506387,85.14948314,84.62214118,84.06784749,83.50099204,82.93391855,83.11300305,83.2909857,83.47153879,83.64929575,83.83242846,82.94600118,82.05318101,81.14574461,80.22576154,79.28961351,77.57904337,75.87799337,74.19261166,72.52021359,70.85939906,70.08590781,69.30804376,68.52635084,67.74287224,66.9594512,65.99165704,65.02697426,64.06164872
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,135.3007923,131.7477447,125.2893579,121.9035294,118.445615,114.9313847,111.4738467,107.9770497,104.4419779,100.8527685,97.14024573,93.39648455,89.53100684,85.69702682,81.86242829,78.15181232,74.62350774,71.32289833,68.22033964,65.29434564,62.48997545,59.85865903,57.35220694,54.90574029,52.49582914,50.09610379,47.71750736,45.33589458,42.98871281,40.69205829,38.45821364,36.66531385,34.49966281,32.33792482,30.5789454,28.93751904,27.4752407,26.15555264,24.91875892,23.86735361,22.95501672,22.11366201,21.3546308,23.87237076,20.02810935,19.45636609,18.92798495,18.49666483,18.10323322
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.30710952,..,..,..,..,..,..,..,..,..,29.14855046,..,..,..,..,..,..,..,..,..,20.18869583,..,..,..,..,16.29472113
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59.24778005,..,..,..,..,..,..,..,..,..,35.32533488,..,..,..,..,..,..,..,..,..,24.24163797,..,..,..,..,19.76660912
Middle East & North Africa (IDA & IBRD countries),TMN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.854373308,6.800305099,6.737425312,6.670309685,6.602624081,6.539728383,6.483499965,6.435292367,6.396862055,6.367043987,6.341981081,6.316433049,6.286596359,6.248193612,6.1978737,6.13264324,6.051572277,5.951702426,5.829984569,5.682654831,5.513601961,5.326338408,5.124291104,4.904789909,4.690423476,4.476206021,4.262413103,4.053908449,3.85770119,3.6773758,3.513768453,3.365598287,3.235075472,3.128494997,3.039136448,2.965560069,2.911429503,2.867275797,2.839350814,2.826782312,2.827617261,2.839589189,2.856157045,2.876143659,2.888847273,2.893885239,2.886615847,2.867768603,..
Middle East & North Africa (IDA & IBRD countries),TMN,Wanted fertility rate (births per woman),SP.DYN.WFRT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,135.4835264,132.740194,130.0233645,127.3913962,124.8311548,122.3745535,120.9793167,119.5903931,118.1605355,116.6999457,115.188936,112.2291378,109.2709526,106.3401658,103.455876,100.6077258,96.05007355,91.52891873,86.99142955,82.44232362,77.96253838,75.21387797,72.48160065,69.71562177,66.75522105,63.85768724,60.80098843,57.74680419,54.68746085,51.62686105,48.48283918,47.01869505,45.5321083,44.04872456,42.5409199,41.03910591,40.85209189,40.69021166,40.55576408,40.47017651,40.42593736,40.77272207,41.13921177,41.52139861,41.9176786,42.32746995,42.17361406,42.01976773,41.83396831
Middle East & North Africa (IDA & IBRD countries),TMN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,222.8099529,217.0606944,211.5294413,206.119678,197.586806,191.3105945,184.7701096,177.7934847,170.3297349,162.5328081,154.4167078,146.1084718,137.7593705,129.3715789,121.0098389,112.7550353,104.8671296,97.43067496,90.71978905,84.9311964,79.97214443,75.76086782,72.2205446,69.17656575,66.49305567,63.97779666,61.60528043,59.220144,56.92958038,54.65184672,52.46466405,50.25218113,48.1410559,46.06088863,44.02739201,42.07169164,40.19963963,38.41336149,36.72066173,35.10921274,33.59453567,32.12801097,30.81519516,29.54278128,28.46383618,27.49508539,26.58639499,25.68433512,24.90455923
